Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Public Class,"com.lprevidente.ddd_example.team.domain.TeamMemberId",5,0,5,0,2,,,,,2,10,10,0,,0,0,,,,3,2,3,3,0,0,0,3,,32,5,26,16,7,1,,9,15,7,8,,3,1,1,0,0,0.04,5
Public Constructor,"com.lprevidente.ddd_example.team.domain.TeamMemberId.TeamMemberId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,3,2,3,1,2,1,,,0,,,0.00,1
Public Method,"com.lprevidente.ddd_example.team.domain.TeamMemberId.equals",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,3,7,0,7,3,4,0,3,4,7,2,5,3,,,1,,,0.00,3
Public Method,"com.lprevidente.ddd_example.team.domain.TeamMemberId.hashCode",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,2,1,1,1,,,0,,,0.00,1
Public Interface,"com.lprevidente.ddd_example.team.domain.TeamMembers",0,0,0,0,0,,,,,1,4,4,0,,0,0,,,,1,0,1,1,1,0,0,0,,6,1,5,4,0,0,,1,2,2,0,,0,2,0,0,0,0.00,0
Abstract Generic Method,"com.lprevidente.ddd_example.team.domain.TeamMembers.findAllById_TeamId",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,1,0,0,,,0,,,0.00,0
Generic Parameter,"com.lprevidente.ddd_example.team.domain.TeamMembers.findAllById_TeamId.T",0,0,0,0,0,,,,,1,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,,0
Class,"com.lprevidente.ddd_example.team.domain.TeamNameTest",8,1,8,0,1,,,,,1,2,2,0,,0,0,,,,3,0,3,3,3,0,0,0,,30,5,25,11,14,0,,10,14,8,10,,1,1,0,0,0,0.00,5
Method,"com.lprevidente.ddd_example.team.domain.TeamNameTest.equalsAndHashCodeShouldWork",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,10,1,9,5,6,0,4,6,7,4,6,1,,,0,,,0.00,1
Method,"com.lprevidente.ddd_example.team.domain.TeamNameTest.shouldCreateValidName",,,,,,0.00,0.00,0,0,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,3,2,3,2,2,1,,,0,,,0.00,1
